标题,地址,户型,关注,总价,均价,房源标签,房源链接
横岗 精装三房 满两年 税费少 东南向 正出阳台,信义御城豪园  | 3室1厅 | 88.94平米 | 东南 | 精装 | 有电梯,高楼层(共33层)2013年建板塔结合  -  横岗,4人关注 / 共1次带看 / 6天以前发布,400万,单价44975元/平米,距离3号线(龙岗线)横岗站725米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101169105.html
双地铁  中楼层  实用东南小两房  满五唯一红本,中兆花园  | 2室1厅 | 45.7平米 | 东南 | 其他 | 无电梯,中楼层(共8层)2000年建塔楼  -  布吉大芬,16人关注 / 共1次带看 / 6天以前发布,190万,单价41576元/平米,距离3号线(龙岗线)丹竹头站549米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101169120.html
锦绣御园精装大三房业主诚心出售看房方便,锦绣御园  | 3室2厅 | 117.81平米 | 南 | 其他 | 有电梯,低楼层(共34层)2012年建板塔结合  -  龙华中心,2人关注 / 共1次带看 / 6天以前发布,580万,单价49232元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101169470.html
08年新社区花园正中间的安静4房,桃源盛景园十六区  | 4室2厅 | 120.07平米 | 南 | 其他 | 有电梯,中楼层(共18层)2007年建板楼  -  桃源居,2人关注 / 共2次带看 / 6天以前发布,600万,单价49971元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101169684.html
阳光花园 两房，朝南，深圳只有一套，业主诚心卖,阳光花园  | 2室1厅 | 57.81平米 | 南 | 简装 | 无电梯,高楼层(共7层)2001年建板塔结合  -  布吉街,74人关注 / 共20次带看 / 2个月以前发布,234万,单价40478元/平米,距离5号线(环中线)下水径站1061米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101049345.html
绿景物业，大三房户型方正，满五年精装修，赠送阳台！,绿景新洋房  | 3室1厅 | 96.2平米 | 东北 | 精装 | 有电梯,高楼层(共15层)2004年建板塔结合  -  新洲,30人关注 / 共13次带看 / 2个月以前发布,596万,单价61955元/平米,距离7号线沙尾站804米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101053427.html
鹏兴花园六期是莲塘区域主心楼盘。小区配套成熟完善。,鹏兴花园六期  | 3室2厅 | 122.65平米 | 西南 | 简装 | 有电梯,高楼层(共22层)2003年建板塔结合  -  莲塘,14人关注 / 共23次带看 / 2个月以前发布,720万,单价58704元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101055843.html
梅林一村价低税费少超高楼层安静小区看水库精装三房,梅林一村十二区  | 3室1厅 | 90.43平米 | 西北 | 简装 | 有电梯,高楼层(共31层)2003年建板塔结合  -  梅林,11人关注 / 共14次带看 / 2个月以前发布,528万,单价58388元/平米,距离9号线梅景站889米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101061651.html
金众蓝钻 复式 满五年 诚心出售,金众蓝钻风景  | 2室2厅 | 48.76平米 | 西北 | 简装 | 有电梯,中楼层(共9层)2008年建板塔结合  -  龙岗宝荷,120人关注 / 共17次带看 / 2个月以前发布,162万,单价33224元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101064080.html
现代城梦想家园 3室2厅 880万,现代城梦想家园  | 3室2厅 | 86.33平米 | 西 | 其他 | 有电梯,高楼层(共29层)2003年建板塔结合  -  后海,8人关注 / 共0次带看 / 2个月以前发布,880万,单价101935元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101067900.html
一手业主，满五年唯一一套，高楼层，精装修,招商果岭花园  | 3室1厅 | 87.77平米 | 西南 | 精装 | 有电梯,高楼层(共30层)2012年建平房  -  西乡,24人关注 / 共15次带看 / 2个月以前发布,545万,单价62095元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101072976.html
中海怡美山庄 3室1厅 700万,中海怡美山庄  | 3室1厅 | 158.24平米 | 南 | 精装 | 无电梯,高楼层(共6层)2005年建板塔结合  -  横岗,5人关注 / 共0次带看 / 2个月以前发布,700万,单价44237元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101074066.html
尚景华园大户型，少有在卖的，满五年唯一,尚景华园  | 4室2厅 | 147.62平米 | 南 | 精装 | 无电梯,高楼层(共7层)2003年建板塔结合  -  中心城北,2人关注 / 共0次带看 / 2个月以前发布,530万,单价35903元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101077891.html
愉园新苑 4室2厅 502万,愉园新苑  | 4室2厅 | 143.6平米 | 南 | 其他 | 有电梯,高楼层(共11层)2004年建板塔结合  -  中心城南,2人关注 / 共0次带看 / 14天以前发布,502万,单价34959元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101158498.html
中海大山地 4室2厅 1000万,中海大山地  | 4室2厅 | 171.54平米 | 南 | 精装 | 无电梯,5层2007年建  -  横岗,2人关注 / 共0次带看 / 14天以前发布,1000万,单价58296元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101158808.html
阳光天健城 客厅正出阳台朝花园送入户精装大四房,阳光天健城  | 4室2厅 | 135.42平米 | 北 | 其他 | 有电梯,中楼层(共26层)2010年建板楼  -  大运新城,3人关注 / 共0次带看 / 14天以前发布,910万,单价67199元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101159137.html
锦绣御园★中间位置★单证★精装大五房★270度采光,锦绣御园  | 5室1厅 | 200.17平米 | 东南 南 西南 | 其他 | 有电梯,低楼层(共28层)2012年建板塔结合  -  龙华中心,4人关注 / 共0次带看 / 13天以前发布,950万,单价47460元/平米,距离4号线(龙华线)清湖站1189米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101160649.html
东港印象 3室1厅 360万,东港印象  | 3室1厅 | 88.82平米 | 南 | 其他 | 有电梯,低楼层(共19层)2012年建塔楼  -  盐田港,5人关注 / 共0次带看 / 12天以前发布,360万,单价40532元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101160843.html
颐安都会中央一期 3室2厅 518万,颐安都会中央一期  | 3室2厅 | 87.64平米 | 东南 | 其他 | 有电梯,高楼层(共31层)2015年建塔楼  -  大运新城,2人关注 / 共0次带看 / 12天以前发布,518万,单价59106元/平米,距离3号线(龙岗线)大运站823米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101161080.html
上东湾大四房 高楼层看海景无遮挡 偶数层赠送面积大,上东湾  | 4室2厅 | 111.65平米 | 南 | 其他 | 有电梯,中楼层(共32层)2012年建板塔结合  -  沙头角,3人关注 / 共0次带看 / 12天以前发布,700万,单价62696元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101161258.html
此房景观很好，格局方正，采光充足,国都高尔夫花园二期  | 5室1厅 | 202.05平米 | 北 | 简装 | 有电梯,高楼层(共31层)2000年建板塔结合  -  车公庙,1人关注 / 共0次带看 / 11天以前发布,1210万,单价59887元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101162368.html
绿景中城天邑花园 3室1厅 1150万,绿景中城天邑花园  | 3室1厅 | 137.48平米 | 南 北 | 精装 | 有电梯,中楼层(共32层)2008年建板塔结合  -  新洲,0人关注 / 共0次带看 / 11天以前发布,1150万,单价83649元/平米,距离7号线沙尾站598米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101162933.html
摩卡小镇  南北通透大复式  给您一个温馨的大家,佳兆业可园四期  | 4室2厅 | 122.36平米 | 南 | 简装 | 有电梯,低楼层(共24层)2006年建板楼  -  布吉南岭,1人关注 / 共0次带看 / 11天以前发布,620万,单价50671元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101163099.html
阳光花园 两房，朝南，深圳只有一套，业主诚心卖,阳光花园  | 2室1厅 | 57.81平米 | 南 | 简装 | 无电梯,高楼层(共7层)2001年建板塔结合  -  布吉街,74人关注 / 共20次带看 / 2个月以前发布,234万,单价40478元/平米,距离5号线(环中线)下水径站1061米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101049345.html
绿景物业，大三房户型方正，满五年精装修，赠送阳台！,绿景新洋房  | 3室1厅 | 96.2平米 | 东北 | 精装 | 有电梯,高楼层(共15层)2004年建板塔结合  -  新洲,30人关注 / 共13次带看 / 2个月以前发布,596万,单价61955元/平米,距离7号线沙尾站804米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101053427.html
鹏兴花园六期是莲塘区域主心楼盘。小区配套成熟完善。,鹏兴花园六期  | 3室2厅 | 122.65平米 | 西南 | 简装 | 有电梯,高楼层(共22层)2003年建板塔结合  -  莲塘,14人关注 / 共23次带看 / 2个月以前发布,720万,单价58704元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101055843.html
梅林一村价低税费少超高楼层安静小区看水库精装三房,梅林一村十二区  | 3室1厅 | 90.43平米 | 西北 | 简装 | 有电梯,高楼层(共31层)2003年建板塔结合  -  梅林,11人关注 / 共14次带看 / 2个月以前发布,528万,单价58388元/平米,距离9号线梅景站889米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101061651.html
金众蓝钻 复式 满五年 诚心出售,金众蓝钻风景  | 2室2厅 | 48.76平米 | 西北 | 简装 | 有电梯,中楼层(共9层)2008年建板塔结合  -  龙岗宝荷,120人关注 / 共17次带看 / 2个月以前发布,162万,单价33224元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101064080.html
现代城梦想家园 3室2厅 880万,现代城梦想家园  | 3室2厅 | 86.33平米 | 西 | 其他 | 有电梯,高楼层(共29层)2003年建板塔结合  -  后海,8人关注 / 共0次带看 / 2个月以前发布,880万,单价101935元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101067900.html
一手业主，满五年唯一一套，高楼层，精装修,招商果岭花园  | 3室1厅 | 87.77平米 | 西南 | 精装 | 有电梯,高楼层(共30层)2012年建平房  -  西乡,24人关注 / 共15次带看 / 2个月以前发布,545万,单价62095元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101072976.html
中海怡美山庄 3室1厅 700万,中海怡美山庄  | 3室1厅 | 158.24平米 | 南 | 精装 | 无电梯,高楼层(共6层)2005年建板塔结合  -  横岗,5人关注 / 共0次带看 / 2个月以前发布,700万,单价44237元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101074066.html
尚景华园大户型，少有在卖的，满五年唯一,尚景华园  | 4室2厅 | 147.62平米 | 南 | 精装 | 无电梯,高楼层(共7层)2003年建板塔结合  -  中心城北,2人关注 / 共0次带看 / 2个月以前发布,530万,单价35903元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101077891.html
桂芳园六期  东南向  中等楼层   采光视野好,桂芳园六期  | 3室2厅 | 90.89平米 | 东南 | 简装 | 有电梯,中楼层(共16层)2005年建板塔结合  -  布吉大芬,12人关注 / 共20次带看 / 2个月以前发布,410万,单价45110元/平米,距离3号线(龙岗线)大芬站798米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101077948.html
水晶之城 5室2厅 1000万,水晶之城  | 5室2厅 | 143.14平米 | 西南 | 精装 | 无电梯,低楼层(共4层)2006年建板塔结合  -  大运新城,7人关注 / 共0次带看 / 2个月以前发布,1000万,单价69862元/平米,距离3号线(龙岗线)荷坳站394米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101078191.html
金宝城 居家办公的好房子  实用 急售 业主诚信出售,金宝城大厦  | 6室2厅 | 181.77平米 | 东 | 精装 | 有电梯,高楼层(共33层)1998年建塔楼  -  华强南,4人关注 / 共0次带看 / 2个月以前发布,818万,单价45002元/平米,距离7号线华强南站444米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101083325.html
嘉多利花园 6室3厅 1730万,嘉多利花园  | 6室3厅 | 231.19平米 | 南 | 精装 | 有电梯,高楼层(共12层)2001年建板塔结合  -  翠竹,2人关注 / 共0次带看 / 1个月以前发布,1730万,单价74831元/平米,距离7号线洪湖站774米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101091880.html
锦绣江南四期 大四房 红本免个税 高楼层位置好看花园,锦绣江南四期  | 4室2厅 | 112.87平米 | 南 | 精装 | 有电梯,中楼层(共32层)2006年建板塔结合  -  深圳北站,29人关注 / 共13次带看 / 1个月以前发布,510万,单价45185元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101101975.html
宝安24区 宝民花园中间 户型方正  红本在手 可上学,华苑楼  | 4室1厅 | 97.4平米 | 东南 | 简装,低楼层(共7层)1992年建板塔结合  -  新安,1人关注 / 共0次带看 / 1个月以前发布,450万,单价46202元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101107678.html
海景两房，可改三房，交易税费低。,碧海富通城三期  | 3室2厅 | 77.07平米 | 西南 | 精装 | 有电梯,高楼层(共24层)2007年建塔楼  -  碧海,36人关注 / 共9次带看 / 1个月以前发布,460万,单价59686元/平米,距离11号线碧海湾站1139米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101111802.html
满五年唯一，红本在手，小区中间位置,金地梅陇镇二期  | 3室2厅 | 114.29平米 | 南 北 | 精装 | 有电梯,高楼层(共18层)2007年建板塔结合  -  深圳北站,7人关注 / 共0次带看 / 1个月以前发布,708万,单价61948元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101117596.html
满五年，朝南看花园，安静中间楼层，看房方便诚心卖,泰华豪园  | 3室2厅 | 105.29平米 | 东南 | 精装 | 无电梯,低楼层(共5层)2000年建板塔结合  -  西乡,36人关注 / 共22次带看 / 3个月以前发布,468万,单价44449元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100989764.html
海月花园一期 前带大花园  南北通透  精心装修  复式,海月花园一期  | 4室2厅 | 167.66平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)1999年建板塔结合  -  蛇口,7人关注 / 共0次带看 / 3个月以前发布,1966万,单价117262元/平米,距离2号线(蛇口线)海月站663米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100995009.html
和成世纪名园 4室2厅 700万,和成世纪名园  | 4室2厅 | 133.59平米 | 南 | 其他 | 有电梯,中楼层(共29层)2014年建板楼  -  坂田,4人关注 / 共1次带看 / 7天以前发布,700万,单价52400元/平米,距离5号线(环中线)五和站143米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101167364.html
宝安24区 宝民花园中间 户型方正  红本在手 可上学,华苑楼  | 4室1厅 | 97.4平米 | 东南 | 简装,低楼层(共7层)1992年建板塔结合  -  新安,1人关注 / 共0次带看 / 1个月以前发布,450万,单价46202元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101107678.html
海景两房，可改三房，交易税费低。,碧海富通城三期  | 3室2厅 | 77.07平米 | 西南 | 精装 | 有电梯,高楼层(共24层)2007年建塔楼  -  碧海,36人关注 / 共9次带看 / 1个月以前发布,460万,单价59686元/平米,距离11号线碧海湾站1139米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101111802.html
满五年唯一，红本在手，小区中间位置,金地梅陇镇二期  | 3室2厅 | 114.29平米 | 南 北 | 精装 | 有电梯,高楼层(共18层)2007年建板塔结合  -  深圳北站,7人关注 / 共0次带看 / 1个月以前发布,708万,单价61948元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101117596.html
朝花园三房，宝中宝外，人车分流，户型方正！,丰华苑  | 3室2厅 | 114.12平米 | 西南 | 简装 | 有电梯,低楼层(共10层)2002年建板塔结合  -  新安,10人关注 / 共22次带看 / 3个月以前发布,660万,单价57834元/平米,距离5号线(环中线)洪浪北站805米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101004366.html
万科城听湖居五房 送双层入户带40平大阳台 实用200平,万科城三期  | 5室2厅 | 118.38平米 | 北 | 其他,低楼层(共18层)2007年建板塔结合  -  坂田,3人关注 / 共0次带看 / 14天以前发布,800万,单价67579元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101158895.html
桃源村高层 看花园三房 安静采光好,桃源村二期  | 3室2厅 | 92.88平米 | 南 | 其他 | 有电梯,高楼层(共20层)2000年建塔楼  -  西丽,24人关注 / 共12次带看 / 1个月以前发布,498万,单价53618元/平米,距离7号线桃源村站463米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101104993.html
阅山华府 精装三房双卫 南向 中高层 满五无个税 红本,阅山华府  | 3室2厅 | 86.99平米 | 南 | 其他,中楼层(共32层)2010年建塔楼  -  中心城北,25人关注 / 共12次带看 / 1个月以前发布,360万,单价41385元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101097258.html
顶楼复式，满五唯一，赠送率高达120平,圣淘沙骏园  | 3室2厅 | 73.2平米 | 东南 | 精装 | 有电梯,高楼层(共18层)2006年建板塔结合  -  西乡,44人关注 / 共9次带看 / 1个月以前发布,658万,单价89891元/平米,距离1号线(罗宝线）西乡站94米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101099288.html
东南向大三房看小区花园海景满五年红本在手,绿景蓝湾半岛  | 3室2厅 | 128.14平米 | 南 | 精装 | 有电梯,低楼层(共33层)2003年建塔楼  -  上下沙,15人关注 / 共16次带看 / 2个月以前发布,880万,单价68675元/平米,距离7号线沙尾站697米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101057019.html
银泉花园 2室1厅 280万,银泉花园  | 2室1厅 | 71.21平米 | 北 | 简装 | 有电梯,低楼层(共11层)1999年建塔楼  -  龙华中心,12人关注 / 共12次带看 / 2个月以前发布,280万,单价39321元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101071940.html
西乡地铁口上盖 三房两卫 看花园 很安静 免个税,合正汇一城  | 3室2厅 | 87.59平米 | 北 | 精装,中楼层(共29层)2011年建板塔结合  -  西乡,14人关注 / 共16次带看 / 1个月以前发布,560万,单价63935元/平米,距离1号线(罗宝线）西乡站415米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101104958.html
振业峦山谷 2室1厅 295万,振业峦山谷  | 2室1厅 | 80.41平米 | 南 | 其他,低楼层(共33层)2009年建塔楼  -  龙岗宝荷,10人关注 / 共3次带看 / 6天以前发布,295万,单价36687元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101168946.html
大信花园 近龙华地铁口  南北通透 中间楼层 位置安静,大信花园  | 2室2厅 | 71.9平米 | 东南 | 其他 | 无电梯,中楼层(共8层)2005年建板塔结合  -  龙华中心,10人关注 / 共2次带看 / 6天以前发布,315万,单价43811元/平米,距离4号线(龙华线)龙华站743米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101169396.html
布吉可园四期高楼层二房业主自己精装修可直接入住,佳兆业可园四期  | 2室2厅 | 73.16平米 | 东北 | 精装 | 有电梯,中楼层(共22层)2006年建板楼  -  布吉南岭,4人关注 / 共1次带看 / 5天以前发布,340万,单价46474元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101170262.html
金地上塘道一期 3室2厅 550万,金地上塘道一期  | 3室2厅 | 89.63平米 | 南 | 其他 | 有电梯,低楼层(共24层)2010年建板楼  -  上塘,4人关注 / 共0次带看 / 10天以前发布,550万,单价61364元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101163791.html
西城丰和 东南向电梯两房 满五年 唯一 居家不二选择,西城丰和  | 2室2厅 | 72.37平米 | 东南 | 精装 | 有电梯,高楼层(共33层)2007年建板塔结合  -  西乡,27人关注 / 共13次带看 / 3个月以前发布,365万,单价50436元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100993275.html
地铁口次新房 端头位 通风采光佳 户型方正安静,祥云天都世纪大厦  | 3室2厅 | 95.81平米 | 南 东北 | 精装 | 有电梯,高楼层(共32层)2007年建塔楼  -  新洲,83人关注 / 共17次带看 / 3个月以前发布,510万,单价53231元/平米,距离7号线沙尾站183米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101015225.html
碧桐海苑的高楼层两房，满五年免个税，原始户型未改动,碧桐海苑  | 2室1厅 | 65.69平米 | 北 | 简装 | 有电梯,中楼层(共32层)2005年建板塔结合  -  沙头角,17人关注 / 共14次带看 / 4个月以前发布,275万,单价41864元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100949053.html
户型方正 客厅出阳台 满五年名下就一套房子 看房方便,富通蟠龙居  | 2室1厅 | 67.83平米 | 西南 | 简装 | 无电梯,高楼层(共7层)2002年建塔楼  -  西乡,127人关注 / 共19次带看 / 6个月以前发布,316万,单价46588元/平米,距离1号线(罗宝线）西乡站715米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100854505.html
龙城国际，南北通3+1房，满五红本，中间楼层,龙城国际  | 3室2厅 | 136.03平米 | 南 | 精装 | 有电梯,中楼层(共18层)2006年建板楼  -  中心城南,27人关注 / 共17次带看 / 8个月以前发布,650万,单价47784元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100752520.html
电梯三房 简单装修 满五年免个税 红本在手,桃源峰景园  | 3室2厅 | 84.84平米 | 西南 | 简装,低楼层(共18层)2012年建板塔结合  -  桃源居,47人关注 / 共18次带看 / 6个月以前发布,403万,单价47502元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100873728.html
春华3+1户型，赠送面积大。满五唯一税费少。,春华四季园一期  | 3室2厅 | 69.29平米 | 东南 | 简装 | 有电梯,高楼层(共11层)2006年建板塔结合  -  民治,47人关注 / 共22次带看 / 2个月以前发布,430万,单价62059元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101042458.html
刚需小两房 业主急卖 适合年轻人居住 配套完善,金盛苑  | 2室1厅 | 54.27平米 | 北 | 其他 | 有电梯,高楼层(共9层)2003年建塔楼  -  西丽,7人关注 / 共1次带看 / 6天以前发布,300万,单价55280元/平米,距离5号线(环中线)西丽站397米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101168936.html
福田居家三加一房，满五唯一，看水库景观，依山傍水,梅林一村十三区  | 3室2厅 | 97.08平米 | 北 | 精装 | 有电梯,低楼层(共18层)1999年建板塔结合  -  梅林,17人关注 / 共19次带看 / 3个月以前发布,605万,单价62320元/平米,距离9号线下梅林站662米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101030237.html
越海家园三房带拓展平台，满五唯一红本少税 诚意出售,越海家园  | 3室1厅 | 76平米 | 南 | 简装,中楼层(共16层)2005年建板塔结合  -  竹子林,30人关注 / 共19次带看 / 5个月以前发布,635万,单价83553元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100898275.html
万科城二期，宽景洋房，装修很好，位置安静,万科城二期  | 4室2厅 | 146.52平米 | 南 | 精装 | 无电梯,低楼层(共3层)2004年建板塔结合  -  坂田,5人关注 / 共0次带看 / 3个月以前发布,1050万,单价71663元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100989695.html
横岗翠湖山庄，朝南两房，户型方正格局通透！,翠湖山庄  | 2室2厅 | 89.13平米 | 南 | 简装 | 无电梯,中楼层(共8层)1994年建板楼  -  横岗,65人关注 / 共15次带看 / 8个月以前发布,260万,单价29171元/平米,距离3号线(龙岗线)塘坑站969米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100765795.html
天悦龙庭  精装大三房 送固定车位 赠送约10入户,天悦龙庭二期  | 3室2厅 | 119.19平米 | 南 | 精装 | 有电梯,中楼层(共28层)2005年建塔楼  -  宝安中心,19人关注 / 共25次带看 / 5个月以前发布,900万,单价75510元/平米,距离1号线(罗宝线）宝安中心站493米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100914879.html
7号线桃源站精装三房 视野开阔 税费少适合居所,桃源村三期  | 3室2厅 | 83.2平米 | 南 | 简装 | 有电梯,高楼层(共34层)2008年建塔楼  -  西丽,88人关注 / 共17次带看 / 一年前发布,490万,单价58895元/平米,距离7号线桃源村站572米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100545342.html
粤宝花园 3室1厅 290万,粤宝花园  | 3室1厅 | 88.41平米 | 南 | 简装 | 有电梯,低楼层(共12层)2001年建板塔结合  -  布吉街,53人关注 / 共22次带看 / 一年前发布,290万,单价32802元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100181313.html
楼梯房 低楼层 朝南 满五年省个税,翠竹苑  | 3室1厅 | 67.43平米 | 南 | 简装,低楼层(共6层)1983年建板塔结合  -  百仕达,17人关注 / 共21次带看 / 4个月以前发布,410万,单价60804元/平米,距离3号线(龙岗线)翠竹站537米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100962999.html
布吉大世纪水山缘实用3房，满五年，装修保养好。,大世纪水山缘  | 3室2厅 | 83.12平米 | 北 | 精装 | 有电梯,高楼层(共11层)2006年建板塔结合  -  布吉南岭,7人关注 / 共10次带看 / 1个月以前发布,355万,单价42710元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101112526.html
西乡正地铁口平面大六房，精装修，满五唯一，业主诚售,合正汇一城  | 6室1厅 | 148.59平米 | 西南 | 精装 | 有电梯,中楼层(共31层)2012年建板塔结合  -  西乡,5人关注 / 共0次带看 / 31天以前发布,920万,单价61916元/平米,距离1号线(罗宝线）西乡站352米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101132578.html
招商观园 4室2厅 790万,招商观园  | 4室2厅 | 163.9平米 | 南 | 其他,中楼层(共18层)2012年建板塔结合  -  观澜,0人关注 / 共0次带看 / 13天以前发布,790万,单价48201元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101160551.html
漾日湾畔 三房两卫 满五唯一 红本在手 中高楼层,漾日湾畔  | 3室1厅 | 112.25平米 | 东北 | 精装 | 有电梯,中楼层(共28层)2004年建板塔结合  -  后海,17人关注 / 共19次带看 / 2个月以前发布,1180万,单价105123元/平米,距离2号线(蛇口线)后海站327米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101082978.html
刚需小两房 业主急卖 适合年轻人居住 配套完善,金盛苑  | 2室1厅 | 54.27平米 | 北 | 其他 | 有电梯,高楼层(共9层)2003年建塔楼  -  西丽,7人关注 / 共1次带看 / 6天以前发布,300万,单价55280元/平米,距离5号线(环中线)西丽站397米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101168936.html
7号线桃源站精装三房 视野开阔 税费少适合居所,桃源村三期  | 3室2厅 | 83.2平米 | 南 | 简装 | 有电梯,高楼层(共34层)2008年建塔楼  -  西丽,88人关注 / 共17次带看 / 一年前发布,490万,单价58895元/平米,距离7号线桃源村站572米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100545342.html
横岗翠湖山庄，朝南两房，户型方正格局通透！,翠湖山庄  | 2室2厅 | 89.13平米 | 南 | 简装 | 无电梯,中楼层(共8层)1994年建板楼  -  横岗,65人关注 / 共15次带看 / 8个月以前发布,260万,单价29171元/平米,距离3号线(龙岗线)塘坑站969米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100765795.html
天悦龙庭  精装大三房 送固定车位 赠送约10入户,天悦龙庭二期  | 3室2厅 | 119.19平米 | 南 | 精装 | 有电梯,中楼层(共28层)2005年建塔楼  -  宝安中心,19人关注 / 共25次带看 / 5个月以前发布,900万,单价75510元/平米,距离1号线(罗宝线）宝安中心站493米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100914879.html
粤宝花园 3室1厅 290万,粤宝花园  | 3室1厅 | 88.41平米 | 南 | 简装 | 有电梯,低楼层(共12层)2001年建板塔结合  -  布吉街,53人关注 / 共22次带看 / 一年前发布,290万,单价32802元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100181313.html
电梯真复式四房三卫   精装  诚意卖,万科第五园六期  | 4室2厅 | 143.99平米 | 南 | 精装 | 有电梯,低楼层(共13层)2010年建塔楼  -  坂田,10人关注 / 共0次带看 / 9天以前发布,730万,单价50698元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101164966.html
龙岗 横岗 信义御城精装两房 户型方正 小区新 花园大,信义御城豪园  | 2室2厅 | 73.92平米 | 东南 | 精装,低楼层(共32层)2013年建板塔结合  -  横岗,8人关注 / 共1次带看 / 7天以前发布,328万,单价44373元/平米,距离3号线(龙岗线)横岗站456米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101167372.html
